2026-01-10 12:43:09,360 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:43:18,433 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 12:46:12,228 | INFO | scheduler | Планувальник запущено
2026-01-10 12:46:12,228 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:46:31,526 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:46:31,526 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:46:32,432 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:46:54,022 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 12:46:55,452 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:46:55,452 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:46:55,672 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:46:59,938 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 12:50:55,759 | INFO | scheduler | Планувальник запущено
2026-01-10 12:50:55,759 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:51:11,161 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:51:11,161 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:51:12,008 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:51:32,411 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 13:03:49,330 | INFO | scheduler | Планувальник запущено
2026-01-10 13:03:49,346 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 16:40:00,308 | INFO | scheduler | Планувальник запущено
2026-01-10 16:40:00,373 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 16:43:27,329 | INFO | scheduler | Планувальник запущено
2026-01-10 16:43:27,329 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 16:45:52,240 | INFO | scheduler | Планувальник запущено
2026-01-10 16:45:52,240 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 16:46:14,192 | INFO | frame_grabber | Frame grabber запущено
�у камеру: index=0
2026-01-10 16:46:15,358 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 16:46:26,963 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 16:46:28,478 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 16:46:28,478 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 16:46:28,709 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 16:46:46,752 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 16:58:12,822 | INFO | scheduler | Планувальник запущено
2026-01-10 16:58:12,822 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 16:58:38,440 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 16:58:38,440 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 16:58:39,524 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 16:58:47,251 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 16:58:47,398 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 16:58:47,396 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 16:58:47,656 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 16:58:51,562 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:02:05,478 | INFO | scheduler | Планувальник запущено
2026-01-10 17:02:05,478 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 17:02:33,569 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:02:33,569 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:02:34,786 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:02:47,472 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:02:48,605 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:02:48,605 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:02:48,801 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:02:50,937 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:02:51,872 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:02:51,872 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:02:52,008 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:02:53,373 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:02:53,529 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:02:54,337 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:02:54,337 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:02:54,467 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:02:56,125 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:02:56,937 | INFO | camera_source | Відкриваю локальну камеру: index=0
